Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links
4 Beds,2 Baths,182 Sq. M.,"Stanley, Alexandria","6,250,000",https://www.bayut.eg/en/property/details-502140962.html
4 Beds,2 Baths,182 Sq. M.,"Stanley, Alexandria","6,250,000",https://www.bayut.eg/en/property/details-502140962.html
3 Beds,2 Baths,144 Sq. M.,"Miami, Alexandria","4,800,000",https://www.bayut.eg/en/property/details-501455931.html
3 Beds,2 Baths,144 Sq. M.,"Miami, Alexandria","4,800,000",https://www.bayut.eg/en/property/details-501455931.html
3 Beds,2 Baths,150 Sq. M.,"Saba Pasha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502020599.html
3 Beds,2 Baths,150 Sq. M.,"Saba Pasha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502020599.html
3 Beds,2 Baths,178 Sq. M.,"Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-500805248.html
3 Beds,2 Baths,178 Sq. M.,"Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-500805248.html
3 Beds,2 Baths,184 Sq. M.,"Alex West, Agami, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502684366.html
3 Beds,2 Baths,184 Sq. M.,"Alex West, Agami, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502684366.html
2 Beds,1 Bath,80 Sq. M.,"Sidi Beshr, Alexandria","1,350,000",https://www.bayut.eg/en/property/details-502684350.html
2 Beds,1 Bath,80 Sq. M.,"Sidi Beshr, Alexandria","1,350,000",https://www.bayut.eg/en/property/details-502684350.html
3 Beds,2 Baths,240 Sq. M.,"Smoha, Alexandria","40,000",https://www.bayut.eg/en/property/details-502684335.html
3 Beds,2 Baths,240 Sq. M.,"Smoha, Alexandria","40,000",https://www.bayut.eg/en/property/details-502684335.html
4 Beds,4 Baths,291 Sq. M.,"Murooj, Smoha, Alexandria","15,132,000",https://www.bayut.eg/en/property/details-502684197.html
4 Beds,4 Baths,291 Sq. M.,"Murooj, Smoha, Alexandria","15,132,000",https://www.bayut.eg/en/property/details-502684197.html
3 Beds,2 Baths,147 Sq. M.,"Murooj, Smoha, Alexandria","7,644,000",https://www.bayut.eg/en/property/details-502684064.html
3 Beds,2 Baths,147 Sq. M.,"Murooj, Smoha, Alexandria","7,644,000",https://www.bayut.eg/en/property/details-502684064.html
3 Beds,3 Baths,178 Sq. M.,"Alex West, Agami, Alexandria","9,416,200",https://www.bayut.eg/en/property/details-502683914.html
3 Beds,3 Baths,178 Sq. M.,"Alex West, Agami, Alexandria","9,416,200",https://www.bayut.eg/en/property/details-502683914.html
2 Beds,1 Bath,102 Sq. M.,"Smoha, Alexandria","3,262,000",https://www.bayut.eg/en/property/details-502683712.html
2 Beds,1 Bath,102 Sq. M.,"Smoha, Alexandria","3,262,000",https://www.bayut.eg/en/property/details-502683712.html
3 Beds,2 Baths,140 Sq. M.,"Cleopatra, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-502683710.html
3 Beds,2 Baths,140 Sq. M.,"Cleopatra, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-502683710.html
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","5,735,000",https://www.bayut.eg/en/property/details-502683629.html
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","5,735,000",https://www.bayut.eg/en/property/details-502683629.html
4 Beds,2 Baths,141 Sq. M.,"Murooj, Smoha, Alexandria","6,838,000",https://www.bayut.eg/en/property/details-502683549.html
4 Beds,2 Baths,141 Sq. M.,"Murooj, Smoha, Alexandria","6,838,000",https://www.bayut.eg/en/property/details-502683549.html
3 Beds,2 Baths,150 Sq. M.,"Montazah, Alexandria","6,300,000",https://www.bayut.eg/en/property/details-502683495.html
3 Beds,2 Baths,150 Sq. M.,"Montazah, Alexandria","6,300,000",https://www.bayut.eg/en/property/details-502683495.html
3 Beds,2 Baths,138 Sq. M.,"Murooj, Smoha, Alexandria","6,348,000",https://www.bayut.eg/en/property/details-502683429.html
3 Beds,2 Baths,138 Sq. M.,"Murooj, Smoha, Alexandria","6,348,000",https://www.bayut.eg/en/property/details-502683429.html
4 Beds,2 Baths,172 Sq. M.,"Azarita, Alexandria","4,300,000",https://www.bayut.eg/en/property/details-502683236.html
4 Beds,2 Baths,172 Sq. M.,"Azarita, Alexandria","4,300,000",https://www.bayut.eg/en/property/details-502683236.html
2 Beds,1 Bath,120 Sq. M.,"Moustafa kamel, Sidi Gaber, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502683182.html
2 Beds,1 Bath,120 Sq. M.,"Moustafa kamel, Sidi Gaber, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502683182.html
2 Beds,1 Bath,150 Sq. M.,"Maamoura, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502683132.html
2 Beds,1 Bath,150 Sq. M.,"Maamoura, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502683132.html
4 Beds,2 Baths,160 Sq. M.,"Glim, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502618164.html
2 Beds,1 Bath,100 Sq. M.,"Smoha, Alexandria","4,500,000",https://www.bayut.eg/en/property/details-502682906.html
2 Beds,1 Bath,100 Sq. M.,"Smoha, Alexandria","4,500,000",https://www.bayut.eg/en/property/details-502682906.html
2 Beds,1 Bath,100 Sq. M.,"Smoha, Alexandria","4,500,000",https://www.bayut.eg/en/property/details-502682906.html
4 Beds,4 Baths,400 Sq. M.,"Miami, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502682821.html
4 Beds,4 Baths,400 Sq. M.,"Miami, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502682821.html
3 Beds,4 Baths,210 Sq. M.,"Alex West, Agami, Alexandria","19,125,000",https://www.bayut.eg/en/property/details-502682767.html
3 Beds,4 Baths,210 Sq. M.,"Alex West, Agami, Alexandria","19,125,000",https://www.bayut.eg/en/property/details-502682767.html
3 Beds,2 Baths,170 Sq. M.,"Abha Hayah, Montazah, Alexandria","61,200,000",https://www.bayut.eg/en/property/details-502682591.html
3 Beds,2 Baths,170 Sq. M.,"Abha Hayah, Montazah, Alexandria","61,200,000",https://www.bayut.eg/en/property/details-502682591.html
4 Beds,3 Baths,309 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","17,500,000",https://www.bayut.eg/en/property/details-502682537.html
4 Beds,3 Baths,309 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","17,500,000",https://www.bayut.eg/en/property/details-502682537.html
3 Beds,2 Baths,155 Sq. M.,"Sidi Gaber, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502682532.html
3 Beds,2 Baths,155 Sq. M.,"Sidi Gaber, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502682532.html
3 Beds,2 Baths,150 Sq. M.,"Sporting, Alexandria","4,200,000",https://www.bayut.eg/en/property/details-502682531.html
3 Beds,2 Baths,150 Sq. M.,"Sporting, Alexandria","4,200,000",https://www.bayut.eg/en/property/details-502682531.html
3 Beds,2 Baths,140 Sq. M.,"Sidi Beshr, Alexandria","3,300,000",https://www.bayut.eg/en/property/details-502682442.html
3 Beds,2 Baths,140 Sq. M.,"Sidi Beshr, Alexandria","3,300,000",https://www.bayut.eg/en/property/details-502682442.html
3 Beds,3 Baths,304 Sq. M.,"Valore, Smoha, Alexandria","14,169,666",https://www.bayut.eg/en/property/details-502682358.html
3 Beds,3 Baths,304 Sq. M.,"Valore, Smoha, Alexandria","14,169,666",https://www.bayut.eg/en/property/details-502682358.html
3 Beds,2 Baths,143 Sq. M.,"Murooj, Smoha, Alexandria","4,933,500",https://www.bayut.eg/en/property/details-502682314.html
3 Beds,2 Baths,143 Sq. M.,"Murooj, Smoha, Alexandria","4,933,500",https://www.bayut.eg/en/property/details-502682314.html
2 Beds,3 Baths,147 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","11,000,000",https://www.bayut.eg/en/property/details-502682247.html
2 Beds,3 Baths,147 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","11,000,000",https://www.bayut.eg/en/property/details-502682247.html
3 Beds,3 Baths,255 Sq. M.,"Kafr Abdo, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502681840.html
3 Beds,3 Baths,255 Sq. M.,"Kafr Abdo, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502681840.html
3 Beds,3 Baths,174 Sq. M.,"Orouba Skyline, Smoha, Alexandria","10,788,000",https://www.bayut.eg/en/property/details-502681832.html
3 Beds,3 Baths,174 Sq. M.,"Orouba Skyline, Smoha, Alexandria","10,788,000",https://www.bayut.eg/en/property/details-502681832.html
3 Beds,1 Bath,120 Sq. M.,"Miami, Alexandria","2,700,000",https://www.bayut.eg/en/property/details-502681693.html
3 Beds,1 Bath,120 Sq. M.,"Miami, Alexandria","2,700,000",https://www.bayut.eg/en/property/details-502681693.html
3 Beds,1 Bath,168 Sq. M.,"Murooj, Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502681691.html
3 Beds,1 Bath,168 Sq. M.,"Murooj, Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502681691.html
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502681659.html
3 Beds,1 Bath,229 Sq. M.,"Murooj, Smoha, Alexandria","11,450,000",https://www.bayut.eg/en/property/details-502681659.html
9 Beds,7 Baths,"2,220 Sq. M.","King Mariout, Alexandria","38,000,000",https://www.bayut.eg/en/property/details-502681644.html
9 Beds,7 Baths,"2,220 Sq. M.","King Mariout, Alexandria","38,000,000",https://www.bayut.eg/en/property/details-502681644.html
3 Beds,1 Bath,160 Sq. M.,"Sidi Beshr, Alexandria","2,670,000",https://www.bayut.eg/en/property/details-502681522.html
3 Beds,1 Bath,160 Sq. M.,"Sidi Beshr, Alexandria","2,670,000",https://www.bayut.eg/en/property/details-502681522.html
2 Beds,1 Bath,121 Sq. M.,"Latin District, Raml Station, Alexandria","6,100,000",https://www.bayut.eg/en/property/details-502681511.html
2 Beds,1 Bath,121 Sq. M.,"Latin District, Raml Station, Alexandria","6,100,000",https://www.bayut.eg/en/property/details-502681511.html
2 Beds,1 Bath,110 Sq. M.,"Camp Caesar, Alexandria","2,950,000",https://www.bayut.eg/en/property/details-502681494.html
2 Beds,1 Bath,110 Sq. M.,"Camp Caesar, Alexandria","2,950,000",https://www.bayut.eg/en/property/details-502681494.html
4 Beds,3 Baths,267 Sq. M.,"Stanley, Alexandria","9,800,000",https://www.bayut.eg/en/property/details-502681428.html
4 Beds,3 Baths,267 Sq. M.,"Stanley, Alexandria","9,800,000",https://www.bayut.eg/en/property/details-502681428.html
3 Beds,3 Baths,167 Sq. M.,"Murooj, Smoha, Alexandria","8,710,000",https://www.bayut.eg/en/property/details-502681408.html
3 Beds,3 Baths,167 Sq. M.,"Murooj, Smoha, Alexandria","8,710,000",https://www.bayut.eg/en/property/details-502681408.html
3 Beds,1 Bath,135 Sq. M.,"Laurent, Alexandria","3,550,000",https://www.bayut.eg/en/property/details-502681398.html
3 Beds,1 Bath,135 Sq. M.,"Laurent, Alexandria","3,550,000",https://www.bayut.eg/en/property/details-502681398.html
4 Beds,2 Baths,200 Sq. M.,"Al Ibrahimiyyah, Alexandria","7,700,000",https://www.bayut.eg/en/property/details-502681306.html
4 Beds,2 Baths,200 Sq. M.,"Al Ibrahimiyyah, Alexandria","7,700,000",https://www.bayut.eg/en/property/details-502681306.html
2 Beds,1 Bath,125 Sq. M.,"Sporting, Alexandria","3,800,000",https://www.bayut.eg/en/property/details-502042344.html
5 Beds,4 Baths,400 Sq. M.,"Laurent, Alexandria","27,000,000",https://www.bayut.eg/en/property/details-502681210.html
5 Beds,4 Baths,400 Sq. M.,"Laurent, Alexandria","27,000,000",https://www.bayut.eg/en/property/details-502681210.html
5 Beds,4 Baths,400 Sq. M.,"Laurent, Alexandria","27,000,000",https://www.bayut.eg/en/property/details-502681210.html
3 Beds,1 Bath,169 Sq. M.,"The One, Smoha, Alexandria","12,865,835",https://www.bayut.eg/en/property/details-502681006.html
3 Beds,1 Bath,169 Sq. M.,"The One, Smoha, Alexandria","12,865,835",https://www.bayut.eg/en/property/details-502681006.html
2 Beds,1 Bath,105 Sq. M.,"Nakheel, Alexandria","920,000",https://www.bayut.eg/en/property/details-502680879.html
2 Beds,1 Bath,105 Sq. M.,"Nakheel, Alexandria","920,000",https://www.bayut.eg/en/property/details-502680879.html
3 Beds,2 Baths,150 Sq. M.,"Asafra, Alexandria","4,600,000",https://www.bayut.eg/en/property/details-502680820.html
3 Beds,2 Baths,150 Sq. M.,"Asafra, Alexandria","4,600,000",https://www.bayut.eg/en/property/details-502680820.html
2 Beds,1 Bath,100 Sq. M.,"Laurent, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502680799.html
2 Beds,1 Bath,100 Sq. M.,"Laurent, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502680799.html
2 Beds,1 Bath,75 Sq. M.,"Nakheel, Alexandria","610,000",https://www.bayut.eg/en/property/details-502680784.html
2 Beds,1 Bath,75 Sq. M.,"Nakheel, Alexandria","610,000",https://www.bayut.eg/en/property/details-502680784.html
3 Beds,2 Baths,146 Sq. M.,"Murooj, Smoha, Alexandria","5,382,000",https://www.bayut.eg/en/property/details-502680767.html
3 Beds,2 Baths,146 Sq. M.,"Murooj, Smoha, Alexandria","5,382,000",https://www.bayut.eg/en/property/details-502680767.html
2 Beds,1 Bath,120 Sq. M.,"Nakheel, Alexandria","700,000",https://www.bayut.eg/en/property/details-502680650.html
2 Beds,1 Bath,120 Sq. M.,"Nakheel, Alexandria","700,000",https://www.bayut.eg/en/property/details-502680650.html
2 Beds,1 Bath,100 Sq. M.,"Nakheel, Alexandria","850,000",https://www.bayut.eg/en/property/details-502680635.html
2 Beds,1 Bath,100 Sq. M.,"Nakheel, Alexandria","850,000",https://www.bayut.eg/en/property/details-502680635.html
2 Beds,1 Bath,90 Sq. M.,"Nakheel, Alexandria","680,000",https://www.bayut.eg/en/property/details-502680626.html
2 Beds,1 Bath,90 Sq. M.,"Nakheel, Alexandria","680,000",https://www.bayut.eg/en/property/details-502680626.html
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","7,200,000",https://www.bayut.eg/en/property/details-502683681.html
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","7,200,000",https://www.bayut.eg/en/property/details-502683681.html
3 Beds,2 Baths,218 Sq. M.,"Valore, Smoha, Alexandria","7,520,105",https://www.bayut.eg/en/property/details-502683555.html
3 Beds,2 Baths,218 Sq. M.,"Valore, Smoha, Alexandria","7,520,105",https://www.bayut.eg/en/property/details-502683555.html
3 Beds,3 Baths,184 Sq. M.,"Alex West, Agami, Alexandria","7,250,000",https://www.bayut.eg/en/property/details-502683004.html
3 Beds,3 Baths,184 Sq. M.,"Alex West, Agami, Alexandria","7,250,000",https://www.bayut.eg/en/property/details-502683004.html
3 Beds,3 Baths,187 Sq. M.,"The One, Smoha, Alexandria","12,023,636",https://www.bayut.eg/en/property/details-502682913.html
3 Beds,3 Baths,187 Sq. M.,"The One, Smoha, Alexandria","12,023,636",https://www.bayut.eg/en/property/details-502682913.html
3 Beds,3 Baths,200 Sq. M.,"Murooj, Smoha, Alexandria","10,200,000",https://www.bayut.eg/en/property/details-502681776.html
3 Beds,3 Baths,200 Sq. M.,"Murooj, Smoha, Alexandria","10,200,000",https://www.bayut.eg/en/property/details-502681776.html
4 Beds,2 Baths,187 Sq. M.,"Seyouf, Alexandria","3,700,000",https://www.bayut.eg/en/property/details-502680772.html
4 Beds,2 Baths,187 Sq. M.,"Seyouf, Alexandria","3,700,000",https://www.bayut.eg/en/property/details-502680772.html
3 Beds,2 Baths,145 Sq. M.,"Sawari, Moharam Bik, Alexandria","9,135,000",https://www.bayut.eg/en/property/details-502682871.html
3 Beds,2 Baths,145 Sq. M.,"Sawari, Moharam Bik, Alexandria","9,135,000",https://www.bayut.eg/en/property/details-502682871.html
3 Beds,2 Baths,156 Sq. M.,"Smoha, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502682157.html
3 Beds,2 Baths,156 Sq. M.,"Smoha, Alexandria","6,200,000",https://www.bayut.eg/en/property/details-502682157.html
3 Beds,2 Baths,147 Sq. M.,"Murooj, Smoha, Alexandria","7,644,000",https://www.bayut.eg/en/property/details-502682126.html
3 Beds,2 Baths,147 Sq. M.,"Murooj, Smoha, Alexandria","7,644,000",https://www.bayut.eg/en/property/details-502682126.html
2 Beds,1 Bath,85 Sq. M.,"Nakheel, Alexandria","665,000",https://www.bayut.eg/en/property/details-502680233.html
2 Beds,1 Bath,85 Sq. M.,"Nakheel, Alexandria","665,000",https://www.bayut.eg/en/property/details-502680233.html
2 Beds,1 Bath,90 Sq. M.,"Zezenia, Alexandria","1,600,000",https://www.bayut.eg/en/property/details-502679996.html
2 Beds,1 Bath,90 Sq. M.,"Zezenia, Alexandria","1,600,000",https://www.bayut.eg/en/property/details-502679996.html
2 Beds,1 Bath,80 Sq. M.,"Nakheel, Alexandria","615,000",https://www.bayut.eg/en/property/details-502679780.html
2 Beds,1 Bath,80 Sq. M.,"Nakheel, Alexandria","615,000",https://www.bayut.eg/en/property/details-502679780.html
2 Beds,1 Bath,100 Sq. M.,"Glim, Alexandria","5,200,000",https://www.bayut.eg/en/property/details-502679632.html
2 Beds,1 Bath,100 Sq. M.,"Glim, Alexandria","5,200,000",https://www.bayut.eg/en/property/details-502679632.html
2 Beds,1 Bath,95 Sq. M.,"Nakheel, Alexandria","955,000",https://www.bayut.eg/en/property/details-502680238.html
2 Beds,1 Bath,95 Sq. M.,"Nakheel, Alexandria","955,000",https://www.bayut.eg/en/property/details-502680238.html
3 Beds,2 Baths,145 Sq. M.,"Moharam Bik, Alexandria","3,200,000",https://www.bayut.eg/en/property/details-502596622.html
2 Beds,1 Bath,90 Sq. M.,"Nakheel, Alexandria","860,000",https://www.bayut.eg/en/property/details-502680228.html
2 Beds,1 Bath,90 Sq. M.,"Nakheel, Alexandria","860,000",https://www.bayut.eg/en/property/details-502680228.html
2 Beds,1 Bath,90 Sq. M.,"Nakheel, Alexandria","860,000",https://www.bayut.eg/en/property/details-502680228.html
2 Beds,1 Bath,70 Sq. M.,"Miami, Alexandria","1,050,000",https://www.bayut.eg/en/property/details-502680125.html
2 Beds,1 Bath,70 Sq. M.,"Miami, Alexandria","1,050,000",https://www.bayut.eg/en/property/details-502680125.html
3 Beds,2 Baths,145 Sq. M.,"Mandara, Alexandria","4,350,000",https://www.bayut.eg/en/property/details-502679611.html
3 Beds,2 Baths,145 Sq. M.,"Mandara, Alexandria","4,350,000",https://www.bayut.eg/en/property/details-502679611.html
3 Beds,2 Baths,205 Sq. M.,"San Stefano, Alexandria","9,000,000",https://www.bayut.eg/en/property/details-502679456.html
3 Beds,2 Baths,205 Sq. M.,"San Stefano, Alexandria","9,000,000",https://www.bayut.eg/en/property/details-502679456.html
2 Beds,2 Baths,500 Sq. M.,"King Mariout, Alexandria","1,950,000",https://www.bayut.eg/en/property/details-502678700.html
2 Beds,2 Baths,500 Sq. M.,"King Mariout, Alexandria","1,950,000",https://www.bayut.eg/en/property/details-502678700.html
3 Beds,2 Baths,165 Sq. M.,"Fleming, Alexandria","4,250,000",https://www.bayut.eg/en/property/details-502681812.html
3 Beds,2 Baths,165 Sq. M.,"Fleming, Alexandria","4,250,000",https://www.bayut.eg/en/property/details-502681812.html
3 Beds,1 Bath,135 Sq. M.,"Miami, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-502679197.html
3 Beds,1 Bath,135 Sq. M.,"Miami, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-502679197.html
3 Beds,1 Bath,161 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502678985.html
3 Beds,1 Bath,161 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502678985.html
2 Beds,1 Bath,70 Sq. M.,"Sidi Beshr, Alexandria","1,250,000",https://www.bayut.eg/en/property/details-502678801.html
2 Beds,1 Bath,70 Sq. M.,"Sidi Beshr, Alexandria","1,250,000",https://www.bayut.eg/en/property/details-502678801.html
3 Beds,3 Baths,235 Sq. M.,"Sporting, Alexandria","14,000,000",https://www.bayut.eg/en/property/details-502678717.html
3 Beds,3 Baths,235 Sq. M.,"Sporting, Alexandria","14,000,000",https://www.bayut.eg/en/property/details-502678717.html
2 Beds,2 Baths,120 Sq. M.,"Nakheel, Alexandria","850,000",https://www.bayut.eg/en/property/details-502678644.html
